timecost:0.46, lr:6.500000000000001e-05, epoch:1, train_loss:2.8872, train_acc:9.62
timecost:0.35, lr:8e-05, epoch:2, train_loss:3.3170, train_acc:9.74
timecost:0.35, lr:9.5e-05, epoch:3, train_loss:3.3643, train_acc:9.62
timecost:0.35, lr:0.00011000000000000002, epoch:4, train_loss:2.5464, train_acc:18.97
timecost:0.36, lr:0.000125, epoch:5, train_loss:3.6579, train_acc:11.15
timecost:0.36, lr:0.00014000000000000001, epoch:6, train_loss:3.1726, train_acc:23.65
timecost:0.35, lr:0.000155, epoch:7, train_loss:3.1156, train_acc:19.23
timecost:0.36, lr:0.00017, epoch:8, train_loss:3.7772, train_acc:10.45
timecost:0.35, lr:0.000185, epoch:9, train_loss:3.1836, train_acc:9.62
timecost:0.35, lr:0.0002, epoch:10, train_loss:3.8003, train_acc:9.87
timecost:0.36, lr:0.00021500000000000002, epoch:11, train_loss:2.4652, train_acc:40.06
timecost:0.35, lr:0.00023000000000000003, epoch:12, train_loss:3.7406, train_acc:9.62
timecost:0.35, lr:0.000245, epoch:13, train_loss:3.2627, train_acc:15.96
timecost:0.35, lr:0.00026000000000000003, epoch:14, train_loss:2.8345, train_acc:29.29
timecost:0.36, lr:0.000275, epoch:15, train_loss:4.2018, train_acc:13.65
timecost:0.35, lr:0.00029000000000000006, epoch:16, train_loss:3.1596, train_acc:25.32
timecost:0.35, lr:0.000305, epoch:17, train_loss:3.9709, train_acc:18.91
timecost:0.36, lr:0.00031999999999999997, epoch:18, train_loss:4.6084, train_acc:12.63
timecost:0.36, lr:0.000335, epoch:19, train_loss:4.0932, train_acc:9.62
timecost:0.35, lr:0.00035, epoch:20, train_loss:3.6747, train_acc:28.59
timecost:0.36, lr:0.00036500000000000004, epoch:21, train_loss:5.3013, train_acc:9.62
timecost:0.36, lr:0.00038, epoch:22, train_loss:3.2671, train_acc:25.83
timecost:0.36, lr:0.00039499999999999995, epoch:23, train_loss:5.2268, train_acc:9.74
timecost:0.36, lr:0.00041000000000000005, epoch:24, train_loss:3.1011, train_acc:21.54
timecost:0.35, lr:0.000425, epoch:25, train_loss:4.8647, train_acc:9.62
timecost:0.35, lr:0.00044, epoch:26, train_loss:3.4252, train_acc:30.38
timecost:0.35, lr:0.000455, epoch:27, train_loss:4.1254, train_acc:26.41
timecost:0.35, lr:0.00047, epoch:28, train_loss:4.4423, train_acc:23.53
timecost:0.35, lr:0.00048499999999999997, epoch:29, train_loss:2.8700, train_acc:30.90
timecost:0.35, lr:0.0005, epoch:30, train_loss:5.6636, train_acc:9.62
timecost:0.36, lr:0.0004999830770009406, epoch:31, train_loss:5.3301, train_acc:9.62
timecost:0.35, lr:0.0004999323102948655, epoch:32, train_loss:4.7556, train_acc:16.60
timecost:0.35, lr:0.0004998477067547739, epoch:33, train_loss:2.8639, train_acc:27.88
timecost:0.35, lr:0.0004997292778346311, epoch:34, train_loss:3.8196, train_acc:12.95
timecost:0.35, lr:0.0004995770395678171, epoch:35, train_loss:3.8437, train_acc:20.45
timecost:0.35, lr:0.0004993910125649561, epoch:36, train_loss:3.1789, train_acc:24.62
timecost:0.35, lr:0.0004991712220111266, epoch:37, train_loss:3.4208, train_acc:29.36
timecost:0.35, lr:0.0004989176976624511, epoch:38, train_loss:3.1611, train_acc:25.45
timecost:0.36, lr:0.0004986304738420684, epoch:39, train_loss:4.3758, train_acc:25.96
timecost:0.36, lr:0.0004983095894354857, epoch:40, train_loss:2.8997, train_acc:31.47
timecost:0.35, lr:0.0004979550878853154, epoch:41, train_loss:2.2943, train_acc:44.68
timecost:0.36, lr:0.0004975670171853926, epoch:42, train_loss:3.5730, train_acc:30.58
timecost:0.35, lr:0.0004971454298742779, epoch:43, train_loss:3.3761, train_acc:26.86
timecost:0.35, lr:0.0004966903830281448, epoch:44, train_loss:4.5352, train_acc:21.60
timecost:0.35, lr:0.000496201938253052, epoch:45, train_loss:3.9093, train_acc:27.44
timecost:0.35, lr:0.0004956801616766034, epoch:46, train_loss:3.6028, train_acc:34.10
timecost:0.35, lr:0.0004951251239389948, epoch:47, train_loss:4.0509, train_acc:19.94
timecost:0.35, lr:0.0004945369001834514, epoch:48, train_loss:3.5519, train_acc:20.26
